start_point,end_point,time_of_day,day_of_week,traffic_condition,event_count,is_holiday,vehicle_density,population_density,weather,public_transport_availability,historical_delay_factor,travel_time
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Saturday,10.0,8,1,high,medium,rain,1,1.0283533901674355,15.095988529598172
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Monday,5.0,9,1,medium,,,2,0.8408157346322745,45.678427909688615
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Thursday,9.0,9,1,,low,,1,0.8324023754730885,42.787233218204044
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Saturday,10.0,8,0,medium,low,rain,2,1.1939569627509508,47.24429971202225
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Thursday,,7,0,medium,low,storm,1,0.995819180386385,49.10307854488625
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Tuesday,,9,1,medium,,storm,1,1.0051112797351087,47.24615966263214
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Thursday,,9,1,,,storm,1,0.863396259876731,19.26698622699253
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Thursday,9.0,7,0,,,rain,1,1.2124413480080913,19.866671923412902
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Saturday,9.0,7,0,high,low,,2,1.0224084297322298,48.105021447355256
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Wednesday,10.0,8,0,low,medium,rain,2,1.1623889422251805,55.63873500816752
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Tuesday,9.0,8,1,high,medium,clear,2,0.9143253418717228,37.14368866895897
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Monday,5.0,7,0,,,,1,0.8269968927929088,16.285684777335423
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Thursday,9.0,9,0,medium,medium,,2,0.7616522914421945,33.897519549921476
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Saturday,,7,0,medium,,,2,1.147168677233215,41.861182994719165
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Tuesday,9.0,8,1,,medium,rain,2,0.7604370956678577,26.089132612174204
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Thursday,9.0,9,1,,medium,fog,1,1.207934658738296,25.545527075148886
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Saturday,5.0,9,0,,low,rain,1,1.168362920176305,29.83070381152255
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Thursday,5.0,7,1,,medium,,1,0.7883468776019118,11.314043018185146
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Sunday,10.0,8,1,,,clear,2,0.9819085428804346,51.5384571576666
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Friday,,7,1,,,clear,2,1.071332870832071,34.53014010599332
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Thursday,9.0,9,0,,high,,2,1.209093126619253,23.168303976664674
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Sunday,10.0,8,1,low,low,,2,0.9920147371861685,42.86234037394755
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Wednesday,9.0,8,0,medium,low,rain,1,0.9454491010233583,17.533186351412922
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Tuesday,,7,1,medium,,storm,2,0.7644584504902834,21.204155308532552
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Thursday,,7,1,,high,,2,1.2403728459735068,29.327366356298082
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Thursday,9.0,9,0,low,low,,2,1.1634300722613613,47.80162387691964
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Tuesday,10.0,8,1,high,,storm,2,1.0781960542020468,16.684181404898776
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Friday,,8,1,medium,medium,,2,1.2016792562148866,37.467846284758934
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Sunday,10.0,9,0,,medium,,1,1.0104172953799533,12.74773590733716
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Tuesday,,7,0,medium,low,storm,2,1.0257730229729902,15.688008442031064
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Monday,,8,0,high,,,1,0.8248555057546862,18.689067177453655
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Friday,,7,1,low,low,clear,2,0.9680498135307681,42.183473304282025
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Wednesday,8.0,9,0,,medium,fog,2,0.9006555453493826,62.677093582419296
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Monday,,7,0,medium,,,2,0.7665031227604265,10.424780900873648
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Wednesday,10.0,8,0,low,low,clear,2,1.2274892475202621,13.016374587555308
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),morning,Wednesday,10.0,8,0,high,low,storm,2,0.7882085693486913,20.753977894177254
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Tuesday,,7,0,,low,,2,0.8096396643946446,18.470569089679525
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Friday,5.0,48,1,,low,clear,2,0.8470507713950999,41.8816713746494
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Friday,,8,0,,low,,1,1.0233884124496144,25.992569065992388
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Monday,5.0,9,0,,high,storm,1,0.9259474512920421,15.960318571610756
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Saturday,10.0,7,1,low,,,0,0.8568436593617635,16.923768058234813
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Monday,9.0,9,1,high,,,1,1.07664543022981,17.688064942671204
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Sunday,10.0,9,1,medium,,fog,2,0.7959712661075423,58.462379568509114
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Wednesday,,9,1,,,fog,2,1.1964370783761504,22.964902652422012
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Wednesday,,8,1,,,storm,2,1.0684426018490565,24.593692947258877
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Tuesday,9.0,7,1,high,low,,2,0.7819555775945647,21.25927915393664
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Sunday,,9,0,,,,1,1.1833884866526019,55.47834821393668
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Tuesday,,9,1,medium,,,1,1.1644468900875522,43.832820475508655
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),morning,Wednesday,,9,1,high,high,storm,2,0.881382653756639,22.125545099419476
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Tuesday,9.0,8,1,,high,fog,2,0.8852952556902407,26.226511651979312
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Thursday,,7,0,medium,medium,rain,1,0.8540407892879222,21.708414006977954
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Saturday,5.0,8,1,,low,storm,2,1.0907938976002147,44.60193063715264
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Tuesday,10.0,7,1,low,low,,2,1.2369948398296358,27.980279847817137
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Saturday,9.0,9,1,low,low,,2,0.8429186827756692,65.31491198101045
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Friday,,8,1,medium,medium,,1,1.0782081062164341,49.99067992873193
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Saturday,9.0,8,1,medium,,clear,2,1.0851841251055239,34.239412366737724
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Tuesday,,9,0,low,medium,clear,2,0.7700146970927888,11.036063454054874
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Tuesday,,7,1,high,medium,,2,1.1678843736569866,42.019577168567665
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Tuesday,,9,1,medium,medium,,1,0.881370647063219,13.399846168249308
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Monday,9.0,9,1,low,,fog,1,0.7780801317155038,47.33011273164202
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Saturday,9.0,8,1,low,low,,2,1.0853168414668017,39.615150380319136
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Wednesday,,9,1,low,,clear,0,0.9535409508002897,17.36702101711364
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Wednesday,9.0,8,0,low,,storm,2,1.0671657774288477,31.672056174063616
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Monday,10.0,9,1,high,,clear,2,0.811167889806276,24.129726743651368
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Saturday,5.0,7,0,,medium,storm,0,1.035968090294226,11.644667549346899
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Monday,9.0,8,1,medium,high,,0,0.8998001804413231,13.505193714658228
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Saturday,10.0,9,0,medium,low,,1,1.0917775127899634,29.66602858765318
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Saturday,9.0,9,1,,medium,rain,1,0.8269056984888059,47.39791940694981
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Monday,9.0,9,1,,low,fog,1,0.8172139185084559,20.801508944320766
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Monday,5.0,7,0,low,low,,2,1.2455477051630222,46.88968730636416
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Thursday,10.0,7,0,high,low,clear,1,0.9575438952509241,20.934439464081184
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Friday,,8,0,,,,2,0.7830353405029962,54.447644718802536
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Saturday,10.0,8,1,high,,,2,0.9673162954145422,17.156561456297666
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Wednesday,,7,1,,medium,,2,0.8943888896274913,17.57389600950685
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Monday,,8,0,medium,high,fog,1,0.8618432384045565,24.524562474158007
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Thursday,10.0,9,0,medium,,fog,2,0.8363822370373601,40.588717082293044
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Wednesday,9.0,8,1,medium,,rain,2,0.9847533795039431,25.312331680401492
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Wednesday,,7,0,,medium,fog,2,0.923486624202775,44.13736008935733
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Sunday,9.0,8,1,,,clear,1,1.2046279701290954,16.903858458185873
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Monday,9.0,9,0,,,fog,2,1.0841018137454683,32.268075299000195
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Thursday,,7,1,low,high,clear,1,1.101986598640393,43.23767737195546
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Tuesday,10.0,7,1,,medium,clear,1,1.2329743250207104,47.35176007219336
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Friday,10.0,9,0,medium,,rain,0,1.1638258434343018,18.883961245917128
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Saturday,,9,1,low,,clear,0,1.2056613889091556,13.504455149643569
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Sunday,9.0,7,0,medium,medium,storm,1,1.1504191288630143,43.053477432598825
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Thursday,10.0,7,1,,medium,storm,1,0.8895078542858064,46.45454350500304
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Friday,10.0,9,1,medium,medium,rain,1,1.1029635779264182,36.54063296546493
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Friday,9.0,8,0,low,,,2,1.132336664347226,21.439907906076563
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Monday,10.0,9,1,,medium,,0,0.9942687229122735,8.922967671116982
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Saturday,,8,0,low,medium,fog,1,0.7585292548203306,37.60664778562511
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Friday,9.0,7,1,high,medium,,2,1.1878450435900672,23.650138065965677
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Wednesday,9.0,8,1,low,,fog,1,0.8230713805926577,16.45083931180139
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Wednesday,9.0,9,0,,medium,rain,2,1.046143092781049,20.95934166977808
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Saturday,7.0,9,0,medium,high,,2,0.9539477964871552,23.397115693547214
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Saturday,9.0,8,0,,high,clear,2,0.7731603200229276,40.7767112135551
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Thursday,10.0,9,0,high,,,2,0.792962184508778,33.11570566186671
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Wednesday,,7,1,medium,medium,clear,1,0.9226961067075512,30.35377499071153
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Monday,9.0,9,1,low,high,storm,2,0.7659618705905473,17.30668671741213
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Thursday,10.0,48,1,medium,,,2,0.9783098402187581,54.600231223021815
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Monday,,9,1,low,,storm,2,1.152936213269828,37.63437793851541
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Saturday,,8,1,,low,,1,0.9681107282793494,33.25401906422695
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Tuesday,9.0,8,0,high,,clear,2,0.9776539880177295,20.609785753411153
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Sunday,,49,0,medium,medium,,2,0.8116404353829645,27.585110851765933
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Sunday,5.0,7,1,,medium,fog,2,1.1690498744072588,73.12413162700554
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Monday,,9,0,medium,,,1,1.056974536420683,48.409041795642885
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Saturday,9.0,8,0,,,storm,2,1.0087317380973744,34.191190643998645
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Wednesday,9.0,9,1,,high,rain,1,1.1739818178223693,26.828336649264163
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Tuesday,,9,0,,,,1,1.1351113981879841,22.788614517945113
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Monday,9.0,7,0,medium,,rain,2,1.2114889871496444,49.49492245558092
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Friday,,7,0,medium,,,2,1.1835104224724844,50.02829941069434
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Tuesday,,9,0,medium,high,,0,1.2426062900562218,14.555475769309952
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Monday,9.0,7,0,medium,,,1,0.8707488996790249,25.47681029264143
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Friday,9.0,7,1,low,low,storm,2,0.8217188246369623,67.31517643114806
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Monday,5.0,7,0,medium,high,clear,2,0.8359318562871827,33.26830445449204
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Friday,,7,1,medium,low,,2,1.2373677727700223,20.63763948726958
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Tuesday,,8,1,high,low,,2,0.9568963563758608,27.014758812432973
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Thursday,9.0,8,1,high,,rain,2,1.2497896314753412,37.288977704583324
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Wednesday,9.0,9,1,medium,medium,clear,2,0.831080889282457,39.53904203941589
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Sunday,10.0,8,0,,low,fog,2,1.0543752407772256,48.65316071098781
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),morning,Friday,9.0,9,0,,,,0,0.7601106117956347,23.9417656924846
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Monday,5.0,7,0,medium,medium,storm,2,0.7910071948874167,29.911928912759958
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Tuesday,10.0,7,0,high,,rain,2,0.8475720738341587,18.572496892908553
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Thursday,10.0,7,0,low,medium,,2,1.002391456536893,34.44323205837045
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Thursday,9.0,9,0,low,,clear,2,0.7601015498896015,11.423762058125572
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Sunday,9.0,7,0,medium,,,1,0.9863791239342705,58.90625327493879
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Wednesday,,8,1,low,high,,2,1.164608560749172,15.090928301323144
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Tuesday,,7,0,medium,high,,2,1.062070939994195,22.54261246295603
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Thursday,,8,0,,medium,clear,1,0.8809926997855377,45.09150215582426
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Friday,,9,0,low,,fog,2,1.2185214673659597,31.43512079331075
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Wednesday,,8,1,,low,rain,2,1.2440585323006936,25.87835352498425
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),morning,Tuesday,5.0,7,1,,medium,clear,2,0.8511370304395255,26.14782233577778
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Monday,5.0,7,0,medium,low,rain,1,1.0285478005046929,31.806973835025218
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Monday,,7,1,high,medium,rain,2,0.9620290633956182,29.082128229238634
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Sunday,9.0,7,0,,,clear,2,1.081624799313925,9.484203606581676
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Friday,,8,1,medium,,fog,0,0.8172822226202919,22.697561445794328
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Sunday,10.0,9,1,low,,clear,2,1.1953466023409716,15.836586314638952
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Wednesday,10.0,7,0,medium,low,storm,2,0.9505721430280389,27.24020709573869
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Tuesday,,9,1,medium,,,2,1.0745433120862597,40.42844891160325
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Tuesday,5.0,7,0,medium,,fog,1,0.9562184682926422,47.68784752736754
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Thursday,9.0,7,1,high,low,rain,2,1.11849828660517,17.41629533603384
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Wednesday,9.0,9,0,low,,,0,0.8045778300718052,14.260851602526943
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Monday,,8,0,high,,fog,2,0.8421802434468176,29.70031455550481
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Wednesday,5.0,8,0,low,medium,,0,0.9853398766595151,15.669593465505807
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Thursday,,7,1,high,,rain,2,1.135369761905989,24.409631948968585
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Sunday,9.0,9,1,,,storm,2,0.7915707351721876,15.121244650137568
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Saturday,,8,1,medium,low,storm,2,0.7561678771617399,17.09245069336322
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Saturday,,7,1,high,medium,,2,0.973254134074659,38.132931737997566
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Saturday,5.0,9,0,low,,clear,1,0.9361521493426535,26.12581002801104
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Wednesday,10.0,9,0,low,,storm,1,1.7844407295782794,52.7804995109418
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Thursday,5.0,7,1,low,low,fog,1,1.1171693486112257,34.507506326443824
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Monday,8.0,8,0,low,high,clear,2,1.2140580829965617,59.788228315592534
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Sunday,10.0,8,1,low,,rain,0,1.2224688417939786,23.04214270207981
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Tuesday,,8,1,medium,medium,,1,1.1078165731716385,20.588485085430094
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Wednesday,10.0,9,0,,,rain,2,0.8628063879551026,11.386712857394492
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Tuesday,10.0,9,0,medium,,storm,1,1.1811354742268332,21.77185739899524
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Saturday,5.0,7,1,low,medium,clear,2,1.1875867244495564,51.298783133030255
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Tuesday,10.0,8,0,,high,storm,1,1.0643532091144534,17.647496683216534
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Sunday,10.0,9,0,,,,1,0.8883997815637694,24.310670251558037
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Saturday,9.0,7,0,,medium,,2,1.1990411743047091,45.22574544047806
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Wednesday,9.0,9,0,low,medium,fog,2,1.0936647699070352,15.397153894338564
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Thursday,10.0,7,1,,,,2,1.1625145609582366,13.436871295772882
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Tuesday,,9,1,low,,,1,0.846084511772309,21.943398284233727
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Friday,10.0,7,0,,medium,fog,1,1.0215510411040214,58.79598629999339
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Saturday,,9,1,medium,low,rain,2,1.073922226487746,32.600429748799364
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Thursday,10.0,8,1,,,fog,1,0.9312165187701448,45.817928389830854
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Wednesday,9.0,7,0,medium,low,fog,2,1.0761714857837417,15.86620763062069
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Sunday,9.0,7,1,,,,2,1.5868416405488976,25.33758226962927
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Thursday,10.0,7,0,low,low,clear,1,0.9216858233586558,40.62644849744152
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Sunday,5.0,7,0,medium,medium,storm,1,1.0574248088581772,37.150961037277305
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Wednesday,9.0,8,1,medium,medium,rain,1,1.679443593554058,32.34160051548102
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Wednesday,10.0,7,1,low,,,2,0.7541861489833572,58.23305959120828
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Wednesday,5.0,7,0,,,clear,2,0.754269026910225,34.26337106425938
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Wednesday,10.0,7,0,medium,low,fog,2,0.8966139181099364,13.66249179436186
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Monday,10.0,7,0,,,,2,1.0336535903817925,54.91303529417576
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Wednesday,9.0,8,1,medium,high,fog,2,1.1734187081775156,38.91377681551543
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Monday,5.0,9,1,high,medium,,2,1.144622005911728,19.33332959470101
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Friday,5.0,9,1,high,high,,2,0.7929724584231166,30.350160793353417
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Wednesday,5.0,7,1,,high,clear,0,1.0060693201870752,10.984892830040067
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Wednesday,,8,1,medium,,clear,1,0.8068274304161307,40.71474621018325
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),morning,Tuesday,9.0,7,1,high,,,2,0.8496325702350553,20.593987635087338
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Saturday,,9,0,,medium,clear,2,1.2199410076334671,23.328720947666536
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Thursday,9.0,9,0,high,medium,clear,2,0.8900959407379152,38.94237476665758
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Saturday,,9,0,,medium,fog,0,0.7884817989972726,21.909025649660492
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Thursday,9.0,8,1,high,low,fog,1,0.9635313931750139,19.26345856145971
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Monday,9.0,9,0,,,clear,2,1.0222344435464032,19.71724038335193
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Wednesday,9.0,9,1,,,fog,2,1.210363059230011,49.68895947386068
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Sunday,9.0,7,0,high,,rain,2,1.0090639505230887,18.905673162871413
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Sunday,9.0,8,0,medium,medium,rain,1,1.1797194299537503,25.431240035329587
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Tuesday,9.0,9,1,medium,,fog,2,0.8732468488497075,23.565189038973006
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Thursday,9.0,9,1,high,medium,,2,1.117908308603141,28.43481819678697
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Tuesday,9.0,7,1,high,high,,2,0.9644656252995545,21.527013638157413
